product_id,brand_id,category_id,product_name,price,average_rating,highlight,description,ingredients,usage_instructions,product_url,product_image,brand,category,created_at,updated_at,deleted_at
62,,,"Fenty's Finest 3-Piece Face, Eye + Lip Kit (Holiday Limited Edition)",RM190.00,,"[""Only at Sephora""]",,,,https://www.sephora.my/products/fenty-beauty-fentys-finest-3-piece-face-eye-plus-lip-kit-holiday-limited-edition/v/default,https://image-optimizer-reg.production.sephora-asia.net/eyJlZGl0cyI6eyJyZXNpemUiOnt9fX0=/images/product_images/zoom_1_Product_840026680264-Fenty-Beauty-Fentys-Finest-3-Piece-Fa_5d0e992db3293d17b1248226aa0562f12af34653_1758788374.png,Fenty Beauty,makeup,2025-11-12 05:59:41,2025-11-12 05:59:41,
63,,,Liquid Matte Ultra-Comfort Transfer-Proof Lipstick,RM128.00,,"[""Only at Sephora""]",,,,https://www.sephora.my/products/huda-beauty-liquid-matte-ultra-comfort-transfer-proof-lipstick/v/slaytina,https://image-optimizer-reg.production.sephora-asia.net/eyJlZGl0cyI6eyJyZXNpemUiOnt9fX0=/images/product_images/zoom_2_Product_6291107571775-Huda-Beauty-Liquid-Matte-Ultra-Comfort-Transfer-Proof-Lipstick-Sla_dca67fe1a3eefc11b97c50a0808ce80f2c179206_1640245923.png,Huda Beauty,makeup,2025-11-12 05:59:41,2025-11-12 05:59:41,
64,,,Make Me Blush Bold Blurring Powder Blush,RM250.00,,[],,,,https://www.sephora.my/products/yves-saint-laurent-make-me-blush-bold-blurring-powder-blush/v/42-babydoll-pink,https://image-optimizer-reg.production.sephora-asia.net/eyJlZGl0cyI6eyJyZXNpemUiOnt9fX0=/images/product_images/zoom_1_Product_3614274254396-Yves-Saint-Laurent-Make-Me-Blush-Bol_53ee5521376ce1746f8a823ccdc04683faab3f3d_1737633704.png,Yves Saint Laurent,makeup,2025-11-12 05:59:41,2025-11-12 05:59:41,
65,,,Shape Tape™ Creamy Concealer,RM142.00,,"[""Only at Sephora""]",,,,https://www.sephora.my/products/tarte-shape-tape-creamy-concealer/v/08b-porcelain-beige,https://image-optimizer-reg.production.sephora-asia.net/eyJlZGl0cyI6eyJyZXNpemUiOnt9fX0=/images/product_images/zoom_1_Product_846733046225-tarte-Shape-Tape-Ultra-Creamy-Conceal_e9e4214d633804d067ca2095df02fa0a0d23cb05_1708924619.png,tarte,makeup,2025-11-12 05:59:41,2025-11-12 05:59:41,
66,,,Shape Tape Contour Concealer,RM142.00,,"[""Only at Sephora""]",,,,https://www.sephora.my/products/tarte-shape-tape-contour-concealer/v/8b-porcelain-beige,https://image-optimizer-reg.production.sephora-asia.net/eyJlZGl0cyI6eyJyZXNpemUiOnt9fX0=/images/product_images/zoom_1_Product_846733030309-tarte-Shape-Tape-Contour-Concealer-8B_059c0565a7480933cdb4aaed3c634ed4d411f420_1708924575.png,tarte,makeup,2025-11-12 05:59:41,2025-11-12 05:59:41,
67,,,Original Retractable Waterproof Brow Pencil,RM61.00,,"[""Only at Sephora""]",,,,https://www.sephora.my/products/sephora-collection-original-retractable-waterproof-brow-pencil/v/02-nutmeg-brown,https://image-optimizer-reg.production.sephora-asia.net/eyJlZGl0cyI6eyJyZXNpemUiOnt9fX0=/images/product_images/zoom_1_Product_3378872136903-Sephora-Collection-Retractable-Waterproof-Brow-Pencil-02-Nutmeg-Br_6b9ccc9aec0e3ff31bd532201ad81ad9e5dc1384_1580440722.png?o=clean,Sephora Collection,makeup,2025-11-12 05:59:41,2025-11-12 05:59:41,
68,,,Airbrush Flawless Foundation,RM235.00,,[],,,,https://www.sephora.my/products/charlotte-tilbury-airbrush-flawless-foundation/v/1-cool,https://image-optimizer-reg.production.sephora-asia.net/eyJlZGl0cyI6eyJyZXNpemUiOnt9fX0=/images/product_images/zoom_1_Product_5056446654692-Charlotte-Tilbury-Airbrush-Flawless-_2c82071e5f4e62c66876912b78d7b64618ec14e1_1750416961.png,Charlotte Tilbury,makeup,2025-11-12 05:59:41,2025-11-12 05:59:41,
69,,,On Til Dawn Setting Spray,RM175.00,,"[""Only at Sephora""]",,,,https://www.sephora.my/products/one-size-on-til-dawn-setting-spray/v/143ml,https://image-optimizer-reg.production.sephora-asia.net/eyJlZGl0cyI6eyJyZXNpemUiOnt9fX0=/images/product_images/zoom_1_Product_810041811042-OneSize-On-Til-Dawn-Setting-Spray-143ml_1f387ed9affc3976bd69348f4237328e12f6958b_1635170132.png,ONE/SIZE,makeup,2025-11-12 05:59:41,2025-11-12 05:59:41,
70,,,#FauxFilter Color Corrector,RM160.00,,"[""Only at Sephora""]",,,,https://www.sephora.my/products/huda-beauty-number-fauxfilter-color-corrector/v/cherry-blossom,https://image-optimizer-reg.production.sephora-asia.net/eyJlZGl0cyI6eyJyZXNpemUiOnt9fX0=/images/product_images/zoom_1_Product_6294018404613-Huda-Beauty-FauxFilter-Color-Correct_1445683e47cd0bc7633c457a652e8a5d74e934ce_1762427688.png,Huda Beauty,makeup,2025-11-12 05:59:41,2025-11-12 05:59:41,
71,,,Matte Revolution Lipstick,RM160.00,,[],,,,https://www.sephora.my/products/charlotte-tilbury-matte-revolution-lipstick/v/catwalking,https://image-optimizer-reg.production.sephora-asia.net/eyJlZGl0cyI6eyJyZXNpemUiOnt9fX0=/images/product_images/zoom_1_Product_5056446642835-Charlotte-Tilbury-Matte-Revolution-L_761fd6a061adfee2b336138db50e767d990e20e4_1734609727.png,Charlotte Tilbury,makeup,2025-11-12 05:59:41,2025-11-12 05:59:41,
72,,,M·A·Cximal Silky Matte Lipstick Mini,RM85.00,,[],,,,https://www.sephora.my/products/mac-cosmetics-m-star-a-star-cximal-silky-matte-lipstick-mini/v/chili,https://image-optimizer-reg.production.sephora-asia.net/eyJlZGl0cyI6eyJyZXNpemUiOnt9fX0=/images/product_images/zoom_1_Product_773602697014-MAC-Cosmetics-M-A-Cximal-Silky-Matte-_2f40f4e48a84c0596c39741f4e3776348c22d29b_1719576117.png,MAC Cosmetics,makeup,2025-11-12 05:59:41,2025-11-12 05:59:41,
73,,,Eyeshadow Primer Potion - Original,RM140.00,,[],,,,https://www.sephora.my/products/urban-decay-eyeshadow-primer-potion-original/v/10ml,https://image-optimizer-reg.production.sephora-asia.net/eyJlZGl0cyI6eyJyZXNpemUiOnt9fX0=/images/product_images/zoom_1_Product_3605970936099-Urban-decay-Eyeshadow-Primer-Potion---Original-Default_6aa2619a321cae7c278db4ccac221eda0f366bb0_1568020408.png,Urban Decay,makeup,2025-11-12 05:59:41,2025-11-12 05:59:41,
74,,,Rouge Is Not My Name No Transfer Matte Lipstick,RM65.00,,"[""Only at Sephora""]",,,,https://www.sephora.my/products/sephora-collection-rouge-is-not-my-name-no-transfer-matte-lipstick/v/01-perfect-line,https://image-optimizer-reg.production.sephora-asia.net/eyJlZGl0cyI6eyJyZXNpemUiOnt9fX0=/images/product_images/zoom_1_Product_3378870194776-Sephora-Collection-Rouge-Is-Not-My-N_79a0f9dfeb28e5dfabe32e280204b33e76926758_1755168151.png,Sephora Collection,makeup,2025-11-12 05:59:41,2025-11-12 05:59:41,
75,,,Soft Matte and Easy Lip Stain,RM67.00,,"[""Only at Sephora""]",,,,https://www.sephora.my/products/sephora-collection-soft-matte-and-easy-lip-stain/v/02-whatsoever,https://image-optimizer-reg.production.sephora-asia.net/eyJlZGl0cyI6eyJyZXNpemUiOnt9fX0=/images/product_images/zoom_1_Product_3378872212362-Sephora-Collection-Soft-Matte-and-Ea_dffb95f70446e810a417ed01e9a8a6cc455d511c_1708924448.png?o=clean,Sephora Collection,makeup,2025-11-12 05:59:41,2025-11-12 05:59:41,
76,,,Vanish Airbrush Concealer Mini,RM98.00,,"[""Only at Sephora""]",,,,https://www.sephora.my/products/hourglass-vanish-airbrush-concealer-mini/v/apricot,https://image-optimizer-reg.production.sephora-asia.net/eyJlZGl0cyI6eyJyZXNpemUiOnt9fX0=/images/product_images/zoom_1_Product_810063695927-Hourglass-Vanish-Airbrush-Concealer-M_d50d9faba63eb817430cf2e885e8f8327a6863b5_1746612727.png,Hourglass,makeup,2025-11-12 05:59:41,2025-11-12 05:59:41,
77,,,Easy Bake Setting Spray,RM175.00,,"[""Only at Sephora""]",,,,https://www.sephora.my/products/huda-beauty-easy-bake-setting-spray/v/100ml,https://image-optimizer-reg.production.sephora-asia.net/eyJlZGl0cyI6eyJyZXNpemUiOnt9fX0=/images/product_images/zoom_1_Product_6294018401964-Huda-Beauty-Easy-Bake-Setting-Spray-_f9a017fc4e41bc789ebe3eb7400cb311ffabfd16_1743138376.png,Huda Beauty,makeup,2025-11-12 05:59:41,2025-11-12 05:59:41,
78,,,Translucent Loose Setting Powder,RM250.00,,[],,,,https://www.sephora.my/products/laura-mercier-translucent-loose-setting-powder/v/translucent,https://image-optimizer-reg.production.sephora-asia.net/eyJlZGl0cyI6eyJyZXNpemUiOnt9fX0=/images/product_images/zoom_1_Product_736150000316-Laura-Mercier-Translucent-Loose-Setti_d2e17c86b238292ed2299d57ced4fddb5bcf7d94_1739448290.png,Laura Mercier,makeup,2025-11-12 05:59:41,2025-11-12 05:59:41,
79,,,Soft Matte Complete Foundation,RM185.00,,[],,,,https://www.sephora.my/products/nars-soft-matte-complete-foundation/v/siberia,https://image-optimizer-reg.production.sephora-asia.net/eyJlZGl0cyI6eyJyZXNpemUiOnt9fX0=/images/product_images/zoom_1_Product_194251003979-NARS-Soft-Matte-Complete-Foundation-Siberia_85aa9bed0419dd82a3b82f3a2cf3d57461baa99b_1601242818.png,NARS,makeup,2025-11-12 05:59:41,2025-11-12 05:59:41,
80,,,Vanish™ Airbrush Concealer,RM205.00,,"[""Only at Sephora""]",,,,https://www.sephora.my/products/hourglass-vanish-airbrush-concealer/v/apricot,https://image-optimizer-reg.production.sephora-asia.net/eyJlZGl0cyI6eyJyZXNpemUiOnt9fX0=/images/product_images/zoom_1_Product_877231009658-Hourglass-Vanish-Airbrush-Concealer-Apricot_3a766b76dcf5a479990021d04be2a08fa60f2ea1_1575518772.png,Hourglass,makeup,2025-11-12 05:59:41,2025-11-12 05:59:41,
81,,,Major Dimension Eyeshadow Duo,RM210.00,,"[""Only at Sephora""]",,,,https://www.sephora.my/products/patrick-ta-major-dimension-eyeshadow-duo/v/do-you-know-who-i-am,https://image-optimizer-reg.production.sephora-asia.net/eyJlZGl0cyI6eyJyZXNpemUiOnt9fX0=/images/product_images/zoom_1_Product_843628150531-Patrick-Ta-Major-Dimension-Eyeshadow-_f2ca39c2bc506989bab15802158bf47ffb5f33b1_1732277219.png,Patrick Ta,makeup,2025-11-12 05:59:41,2025-11-12 05:59:41,
